Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,Student_Type,Bid_Round,Acad_Yr,Semester
ACC1002X,LECTURE B1,18,18,80,1,1001,SCIENCE,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B1,120,166,100,1502,5001,ENGINEERING,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B1,25,16,1,1,991,SCHOOL OF COMPUTING,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B1,28,7,3,1,1084,SCHOOL OF BUSINESS,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B2,17,12,1,1,507,SCIENCE,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B2,100,138,15,1871,4501,ENGINEERING,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B2,35,18,1,1,300,SCHOOL OF COMPUTING,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B2,40,3,1,1,388,SCHOOL OF BUSINESS,Returning Students [P],1A,20082009,1
ACC1002X,LECTURE B1,9,1,10,1,10,SCHOOL OF COMPUTING,Returning Students [P],1B,20082009,1
ACC1002X,LECTURE B1,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20082009,1
ACC1002X,LECTURE B2,5,0,0,0,0,SCIENCE,Returning Students [P],1B,20082009,1
ACC1002X,LECTURE B2,17,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P],1B,20082009,1
ACC1002X,LECTURE B2,37,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P],1B,20082009,1
ACC1002X,LECTURE B1,1,12,700,5201,5201,ENGINEERING,Returning Students [P],1C,20082009,1
ACC1002X,LECTURE B1,8,9,1,351,2277,SCHOOL OF COMPUTING,Returning Students [P],1C,20082009,1
ACC1002X,LECTURE B1,22,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1C,20082009,1
ACC1002X,LECTURE B1,9,20,60,201,514,SCIENCE,New Students [P],1C,20082009,1
ACC1002X,LECTURE B1,40,57,1,650,748,ENGINEERING,New Students [P],1C,20082009,1
ACC1002X,LECTURE B1,50,26,1,1,125,SCHOOL OF COMPUTING,New Students [P],1C,20082009,1
ACC1002X,LECTURE B2,5,18,1,2600,4000,SCIENCE,Returning Students [P],1C,20082009,1
ACC1002X,LECTURE B2,17,7,1,1,3500,SCHOOL OF COMPUTING,Returning Students [P],1C,20082009,1
ACC1002X,LECTURE B2,36,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1C,20082009,1
ACC1002X,LECTURE B2,11,17,100,202,600,SCIENCE,New Students [P],1C,20082009,1
ACC1002X,LECTURE B2,60,67,5,100,748,ENGINEERING,New Students [P],1C,20082009,1
ACC1002X,LECTURE B2,40,44,7,20,500,SCHOOL OF COMPUTING,New Students [P],1C,20082009,1
ACC1002X,LECTURE B1,22,43,1,2300,4447,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20082009,1
ACC1002X,LECTURE B1,24,8,1,1,350,SCHOOL OF COMPUTING,New Students [P],2A,20082009,1
ACC1002X,LECTURE B2,46,74,1,1738,5218,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2A,20082009,1
ACC1002X,LECTURE B1,3,13,406,2500,3400,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20082009,1
ACC1002X,LECTURE B1,17,4,1,1,3,SCHOOL OF COMPUTING,New Students [P],2B,20082009,1
ACC1002X,LECTURE B2,4,13,1,3900,5322,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G],2B,20082009,1
ACC1002X,LECTURE B2,1,2,700,748,748,ENGINEERING,New Students [P],2B,20082009,1
ACC1002X,LECTURE B1,16,39,155,2266,5000,SCHOOL OF BUSINESS,NUS Students [PG],3A,20082009,1
ACC1002X,LECTURE B1,7,1,1,1,1,SCIENCE,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B1,120,141,1,1000,6050,ENGINEERING,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B1,20,3,50,1,207,SCHOOL OF COMPUTING,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B1,46,2,1,1,5,SCHOOL OF BUSINESS,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B1,10,0,0,0,0,SCIENCE,New Students [P],1A,20082009,2
ACC1002X,LECTURE B1,40,51,1,760,1567,ENGINEERING,New Students [P],1A,20082009,2
ACC1002X,LECTURE B1,41,12,1,1,400,SCHOOL OF COMPUTING,New Students [P],1A,20082009,2
ACC1002X,LECTURE B1,15,18,58,200,700,SCHOOL OF BUSINESS,New Students [P],1A,20082009,2
ACC1002X,LECTURE B2,8,0,0,0,0,SCIENCE,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B2,120,134,1,100,4811,ENGINEERING,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B2,29,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B2,44,2,1,1,2,SCHOOL OF BUSINESS,Returning Students [P],1A,20082009,2
ACC1002X,LECTURE B2,10,0,0,0,0,SCIENCE,New Students [P],1A,20082009,2
ACC1002X,LECTURE B2,40,34,1,1,1567,ENGINEERING,New Students [P],1A,20082009,2
ACC1002X,LECTURE B2,30,5,1,1,50,SCHOOL OF COMPUTING,New Students [P],1A,20082009,2
ACC1002X,LECTURE B2,15,16,1,100,455,SCHOOL OF BUSINESS,New Students [P],1A,20082009,2
ACC1002X,LECTURE B1,6,0,0,0,0,SCIENCE,Returning Students [P],1B,20082009,2
ACC1002X,LECTURE B1,17,1,1000,1,1000,SCHOOL OF COMPUTING,Returning Students [P],1B,20082009,2
ACC1002X,LECTURE B1,44,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20082009,2
ACC1002X,LECTURE B1,10,0,0,0,0,SCIENCE,New Students [P],1B,20082009,2
ACC1002X,LECTURE B1,29,0,0,0,0,SCHOOL OF COMPUTING,New Students [P],1B,20082009,2
ACC1002X,LECTURE B2,8,0,0,0,0,SCIENCE,Returning Students [P],1B,20082009,2
ACC1002X,LECTURE B2,28,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P],1B,20082009,2
ACC1002X,LECTURE B2,42,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P],1B,20082009,2
ACC1002X,LECTURE B2,10,0,0,0,0,SCIENCE,New Students [P],1B,20082009,2
ACC1002X,LECTURE B2,6,1,200,1,200,ENGINEERING,New Students [P],1B,20082009,2
ACC1002X,LECTURE B2,25,0,0,0,0,SCHOOL OF COMPUTING,New Students [P],1B,20082009,2
ACC1002X,LECTURE B1,16,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B1,2,13,1,5605,5638,ENGINEERING,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B1,45,1,1,1,1,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B1,44,7,1,1,301,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B2,18,0,0,0,0,SCIENCE,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B2,5,12,150,3677,5000,ENGINEERING,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B2,52,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B2,42,2,1,1,10,SCHOOL OF BUSINESS,Returning Students and New Students [P],2A,20082009,2
ACC1002X,LECTURE B1,16,41,1,2427,3801,SCIENCE,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B1,3,11,1000,4721,5000,ENGINEERING,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B1,44,26,1,1,991,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B1,37,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B2,18,38,3,1621,4170,SCIENCE,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B2,2,9,205,3666,5067,ENGINEERING,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B2,53,17,1,1,1969,SCHOOL OF COMPUTING,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B2,41,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P],2B,20082009,2
ACC1002X,LECTURE B1,57,89,250,1129,4239,SCHOOL OF BUSINESS,NUS Students [PG],2C,20082009,2
ACC1002X,LECTURE B2,78,123,1,971,6277,SCHOOL OF BUSINESS,NUS Students [PG],2C,20082009,2
ACC1002X,LECTURE B2,3,15,101,3000,4810,SCHOOL OF BUSINESS,NUS Students [PG],3A,20082009,2
ACC1002X,LECTURE B1,5,21,150,3207,7500,SCHOOL OF BUSINESS,NUS Students [PG],3B,20082009,2
ACC1002X,LECTURE B2,3,19,4,2218,4673,SCHOOL OF BUSINESS,NUS Students [PG],3B,20082009,2
ACC1002X,LECTURE B1,25,14,1,1,400,SCIENCE,Returning Students [P],1A,20092010,1
ACC1002X,LECTURE B1,140,153,1,100,4690,ENGINEERING,Returning Students [P],1A,20092010,1
