Module Code,Title
ACC1002,Financial Accounting
ACC1002X,Financial Accounting
ACC1006,Accounting Information Systems
ACC2002,Managerial Accounting
ACC3601,Corporate Accounting and Reporting
ACC3602,Managerial Planning and Control
ACC3604,Corporate and Securities Law
ACC3605,Taxation
ACC3606,Advanced Corporate Accounting and Reporting
ACC3611,Corporate Governance and Ethics
ACC3612,Risk Management and Internal Control
ACC3613,Advanced Assurance and Attestation
ACC3614,Valuation
ACC3615,Accounting Theory
ACC4611,Advanced Taxation
ACC4612A,Seminars in Accounting: Internal Auditing
ACC4612D,Seminars in Accounting
ACC4612E,Seminars in Accounting
AR1101,Design I
AR1102,Design 2
AR1121,Spatial - Visual Communication
AR1221,Ideas and Approaches in Design
AR1326,Architectural Construction 1
AR1327,Structural Principles
AR1721,Climate Responsive Architecture
AR2101,Design 3
AR2102,Design 4
AR2221,History & Theory Of SEA Architecture
AR2223,Theory Of Urban Design & Planning
AR2326,Architectural Construction II
AR2511,Digital Design Media
AR2521,Digital Modelling and Simulation
AR2723,Strategies for Sustainable Architecture
AR2724,Designing with Environmental Systems
AR3101,Design 5
AR3102,Design 6
AR3222,History & Theory Of Western Architecture
AR3323,Architectural Construction 3
AR3324,Architectural Structures
AR4101,Design 7
AR4102,Design 8
AR4103,Architectural & Technology Design 1
AR4104,Architectural & Technology Design 2
AR4142,Research Report
AR4222,Asian Architecture And Urban Heritage
AR4222,Asian Architecture and Urban History
AR4223,Architecture and Urban Heritage
AR4322,Design Simulation & Analysis
AR4323,Integrated Design & Sustainability
AR5011,Research Methodology
AR5221,CONTEMPORARY THEORIES
AR5312,Typo-Morphology In Architecture
AR5321,Advanced Architectural Technology
AR5610,City Appreciation
AS2213,Reading American Texts
AS2236,US Media in the 20th Century & Beyond
AS2237,The U.S.: From Settlement to Superpower
AS3231,American Literature I
AS3232,American Literature II
AS3234,Asian American Literature
AS3238,The Political History of the US
AS3239,The United States in the Asia-Pacific
AS3240,Making America Modern
BCP4002A,Consulting Practicum
BCP4002B,Consulting Practicum
BHT4001A,Honours Thesis
BHT4001B,Honours Thesis
BHT4001C,Honours Thesis
BN2101,Principles of Bioengineering
BN3301,Introduction To Biomaterials
BN3402,Bio-Analytical Methods In Bioengineering
BN4201,Musculoskeletal Biomechanics
BN4202,Biofluids Dynamics
BN4203,Rehabilitation Engineering
BN4301,Principles Of Tissue Engineering
BN4402,Electrophysiology
BN4403,Cellular Bioengineering
BN4404,Bioelectromechanical Systems - Biomems
BN4406,Biophotonics And Bioimaging
BSP1004,Legal Environment Of Business
BSP1004X,Legal Environment Of Business
BSP1005,Managerial Economics
BSP2001,Macro And International Economics
BSP2005,"Asia Pacific Business, Ethics & Society"
BSP2005,Asia Pacific Business Environment
BSP3001,Strategic Management
BSP3511,Corporate Law And Finance
BSP3513,Family Business
BSP4512,Global Strategic Management
BSP4513,Econometrics: Theory And Practical Business Application
BST3002C,Consulting Skills for Transformational Leaders
BU4180,Measurement III
BU4280,Development & Building Economics
BU4380,Professional Practice (Construction)
BU4480,Total Building Performance
BU4490,Building Diagnosis And Repair
BU4491,Bdg Environmental Assessment Methods
CE2112,Soil Mechanics
CE2134,Hydraulics
CE2155,Structural Analysis I
CE2155,Structural Mechanics and Materials
CE2164,Structural Design & Materials
CE2183,Construction Project Management
CE2184,Infrastructure & The Environment
CE2407,Engineering & Uncertainty Analyses
CE2408,Computer Aided Engineering
CE2409,Computer Applications in Civil Engineering
CE3101,Integrated Infrastructure Project
CE3102,Engineering of Socio-technical Systems
CE3115,Geotechnical Engineering
CE3116,Foundation Engineering
CE3121,Transportation Engineering
CE3132,Water Resources Engineering
CE3155,Structural Analysis II
CE3155,Structural Analysis
CE3165,Design Of R.C. Structural Systems
CE3165,Structural Concrete Design
CE3166,CE Materials & Structural Steel Systems
CE3166,Structural Steel Design and System
CE4103,Design Project
CE4104,B. Eng. Dissertation
CE4257,Linear Finite Element Analysis
CE4258,Structural Stability & Dynamics
CE5101,Seepage & Consolidation Of Soils
CE5104,Underground Space
CE5105,Analy'L & Num'L Mthds In Foundation Eng
CE5105,Analytical & Numerical Methods In Foundation Engineering
CE5106,Ground Improvement & Monitoring
CE5106,Ground Improvement
CE5107,Pile Foundations
CE5108,Earth-Retaining Structures
CE5108,Earth Retaining Structures
CE5112,Structural Support Systems for Excavation
CE5113,Geotechnical Investigation & Monitoring
CE5203,Traffic Flow And Control
CE5203,Traffic Flow & Control
CE5204,PAVEMENT DESIGN & REHABILITATION
CE5205,Transportation Planning
CE5207,Pavement Network Management Systems
CE5307,Offshore Hydrodynamics
CE5307,Wave Hydrodynamics and Physical Oceanography
CE5312,River Mechanics
CE5313,Groundwater Hydrology
CE5509,Advanced Structural Steel Design
CE5510,Advanced Structural Concrete Design
CE5513,Plastic Analysis Of Structures
